Name,Genus,Species,Kingdom,Subphylum,Class,Order,Family,Attributes
Grey Wolf,Canis,Canis lupus,Animalia,Vertebrata,Mammalia,Carnivora,Canidae,"Nocturnal,Carnivore,Scavenger,Terrestrial,Cursorial,Altricial,Pack hunters,Apex predator,Pursuit predator,Nomadic,Territorial,Viviparous,Pack hunters,Ambush predator,Monogamy,Social,Dominance hierarchy,Not a migrant,starts with,Dangerous Animals"
Tiger,Panthera,Panthera tigris,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Nocturnal,Carnivore,Cursorial,Terrestrial,Ambush predator,Altricial,Nomadic,Territorial,Viviparous,Apex predator,Polygyny,Solitary,Dominance hierarchy,Not a migrant,starts with,Camouflaged Animals,Dangerous Animals,Giant Animals"
Brown Bear,Ursus,Ursus arctos,Animalia,Vertebrata,Mammalia,Carnivora,Ursidae,"Crepuscular,Omnivore,Terrestrial,Altricial,Nomadic,Territorial,Burrowing,Polygynandry,Serial monogamy,Dangerous,Solitary,Hibernating,Migrating,starts with,Lucky Animals,Canada Province Animals"
Blue Whale,Balaenoptera,Balaenoptera musculus,Animalia,Vertebrata,Mammalia,Artiodactyla,Balaenopteridae,"Carnivore,Piscivores,Aquatic,Precocial,Natatorial,Viviparous,Cosmopolitan,Pursuit predator,Monogamy,Generally solitary,Migrating,starts with,Giant Animals"
Killer Whale,Orcinus,Orcinus orca,Animalia,Vertebrata,Mammalia,Artiodactyla,Delphinidae,"Diurnal,Carnivore,Aquatic,Precocial,Cosmopolitan,Natatorial,Territorial,Viviparous,Apex predator,Pursuit predator,Polygynandry,Highly social,Partial Migrant,starts with,Vicious Animals,Black And White Animals"
Giant Panda,Ailuropoda,Ailuropoda melanoleuca,Animalia,Vertebrata,Mammalia,Carnivora,Ursidae,"Crepuscular,Nocturnal,Herbivore,Folivore,Terrestrial,Altricial,Browsing,Zoochory,Viviparous,Polygyny,Solitary,Not a migrant,starts with,Cute Animals,Black And White Animals"
Lion,Panthera,Panthera leo,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Nocturnal,Crepuscular,Diurnal,Scavenger,Hypercarnivore,Terrestrial,Altricial,Pack hunters,Ambush predator,Apex predator,Nomadic,Territorial,Viviparous,Polygyny,Dominance hierarchy,Highly social,Social,Not a migrant,starts with,Aristocrats,Fast Animals"
Koala,Phascolarctos,Phascolarctos cinereus,Animalia,Vertebrata,Mammalia,Diprotodontia,Phascolarctidae,"Nocturnal,Herbivore,Folivore,Arboreal,Altricial,Terrestrial,Viviparous,Territorial,Polygyny,Solitary,Not a migrant,starts with,Cute Animals,Slow Animals"
Cougar,Puma,Puma concolor,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Nocturnal,Carnivore,Terrestrial,Altricial,Ambush predator,Cursorial,Territorial,Viviparous,Apex predator,Polygyny,Solitary,starts with"
Quokka,Setonix,Setonix brachyurus,Animalia,Vertebrata,Mammalia,Diprotodontia,Macropodidae,"Nocturnal,Herbivore,Folivore,Frugivore,Terrestrial,Jumping,Altricial,Browsing,Island endemic,Viviparous,Arboreal,Polygynandry,Social,Not a migrant,starts with,Cute Animals"
Jaguar,Panthera,Panthera onca,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Crepuscular,Carnivore,Terrestrial,Altricial,Territorial,Polygyny,Solitary,Not a migrant,starts with"
Horse,Perissodactyla,Equidae,Przewalski's Horse,Animalia,Chordata,Vertebrata,Mammalia,"Viviparous,Precocial,Social,Herding,Dominance hierarchy,Domesticated,starts with"
Raccoon,Procyon,Procyon lotor,Animalia,Vertebrata,Mammalia,Carnivora,Procyonidae,"Nocturnal,Crepuscular,Omnivore,Terrestrial,Altricial,Burrowing,Arboreal,Scansorial,Viviparous,Polygynandry,Social,Not a migrant,starts with,Smart Animals"
Polar Bear,Ursus,Ursus maritimus,Animalia,Vertebrata,Mammalia,Carnivora,Ursidae,"Diurnal,Carnivore,Scavenger,Terrestrial,Altricial,Natatorial,Nomadic,Apex predator,Burrowing,Aquatic,Polygyny,Dangerous,Solitary,Hibernating,starts with,Canada Province Animals,Giant Animals,Snow White"
Cheetah,Acinonyx,Acinonyx jubatus,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Diurnal,Carnivore,Terrestrial,Cursorial,Altricial,Territorial,Viviparous,Pursuit predator,Ambush predator,Nomadic,Polygyny,Social,Solitary,Not a migrant,starts with,Spotted Animals,Fast Animals"
Platypus,Ornithorhynchus,Ornithorhynchus anatinus,Animalia,Vertebrata,Mammalia,Monotremata,Ornithorhynchidae,"Nocturnal,Crepuscular,Carnivore,Semiaquatic,Altricial,Fossorial,Natatorial,Territorial,Oviparous,Burrowing,Polygynandry,Venomous,Solitary,Not a migrant,starts with,Weird Animals"
Coyote,Canis,Canis latrans,Animalia,Vertebrata,Mammalia,Carnivora,Canidae,"Crepuscular,Diurnal,Carnivore,Scavenger,Terrestrial,Cursorial,Altricial,Territorial,Viviparous,Burrowing,Pack hunters,Monogamy,Dominance hierarchy,Highly social,starts with,U.S. States Animals"
